상담ID,고객ID,상담일시,상담유형,상담시간(분),상담원ID,상담평가,재상담필요
CALL000703,CUST004201,2023-04-04 13:00:00,홍보,21,CS48,5,False
CALL000704,CUST003830,2023-06-15 11:00:00,요금조회,29,CS04,4,True
CALL000705,CUST000778,2024-12-31 16:00:00,불만,19,CS17,4,False
CALL000706,CUST003628,2023-01-07 10:00:00,불만,19,CS12,5,False
CALL000707,CUST002955,2023-07-13 14:00:00,불만,19,CS39,5,False
CALL000708,CUST001212,2024-12-18 10:00:00,요금조회,7,CS34,4,False
CALL000709,CUST003393,2023-04-12 18:00:00,불만,1,CS25,4,False
CALL000710,CUST004452,2024-09-14 18:00:00,홍보,16,CS12,1,True
CALL000711,CUST004256,2023-06-25 09:00:00,신청,21,CS11,5,False
CALL000712,CUST002810,2023-12-28 16:00:00,요금조회,24,CS27,4,False
CALL000713,CUST003692,2023-05-08 16:00:00,기술지원,28,CS37,4,True
CALL000714,CUST001433,2024-08-09 15:00:00,기술지원,11,CS40,4,False
CALL000715,CUST000702,2023-01-05 18:00:00,기술지원,6,CS09,5,False
CALL000716,CUST001388,2024-01-10 17:00:00,신청,24,CS01,5,False
CALL000717,CUST000945,2023-04-07 14:00:00,신청,5,CS25,4,False
CALL000718,CUST001162,2023-04-19 09:00:00,기술지원,2,CS27,5,False
CALL000719,CUST003286,2024-05-30 14:00:00,요금조회,27,CS26,3,False
CALL000720,CUST002533,2023-08-05 16:00:00,기술지원,29,CS05,5,False
CALL000721,CUST002079,2024-01-16 13:00:00,기술지원,16,CS30,1,False
CALL000722,CUST004361,2024-07-17 16:00:00,요금조회,4,CS37,5,False
CALL000723,CUST000696,2023-03-25 17:00:00,신청,12,CS38,4,False
CALL000724,CUST001909,2023-11-17 17:00:00,홍보,23,CS27,3,False
CALL000725,CUST000013,2024-04-19 15:00:00,홍보,20,CS12,4,False
CALL000726,CUST002368,2023-06-21 09:00:00,요금조회,18,CS13,5,False
CALL000727,CUST004532,2024-01-26 16:00:00,요금조회,27,CS23,5,False
CALL000728,CUST000924,2024-06-13 08:00:00,요금조회,24,CS25,2,False
CALL000729,CUST003382,2024-12-26 08:00:00,기술지원,27,CS40,5,False
CALL000730,CUST003643,2023-12-14 11:00:00,요금조회,15,CS38,1,False
CALL000731,CUST000805,2024-05-05 16:00:00,불만,8,CS39,2,False
CALL000732,CUST003060,2024-12-17 17:00:00,불만,20,CS43,4,True
CALL000733,CUST004299,2023-08-10 09:00:00,불만,24,CS10,5,False
CALL000734,CUST004734,2024-07-14 14:00:00,신청,25,CS38,2,True
CALL000735,CUST001550,2024-09-15 10:00:00,요금조회,5,CS48,3,True
CALL000736,CUST001482,2024-06-04 17:00:00,불만,17,CS39,5,False
CALL000737,CUST003674,2024-05-06 10:00:00,홍보,25,CS47,5,False
CALL000738,CUST001063,2024-06-05 12:00:00,불만,10,CS36,4,False
CALL000739,CUST002550,2023-12-06 12:00:00,불만,21,CS16,5,False
CALL000740,CUST004761,2023-02-24 18:00:00,홍보,25,CS14,5,False
CALL000741,CUST002677,2023-04-09 16:00:00,홍보,18,CS21,5,False
CALL000742,CUST003566,2023-05-22 10:00:00,불만,7,CS49,5,False
CALL000743,CUST003982,2024-05-03 10:00:00,홍보,29,CS36,5,True
CALL000744,CUST001788,2023-01-02 08:00:00,요금조회,28,CS48,2,False
CALL000745,CUST001232,2023-07-01 16:00:00,기술지원,9,CS31,4,False
CALL000746,CUST001005,2023-08-07 17:00:00,신청,26,CS26,5,False
CALL000747,CUST002450,2023-10-29 16:00:00,불만,17,CS36,4,True
CALL000748,CUST001608,2023-05-11 18:00:00,기술지원,7,CS33,4,False
CALL000749,CUST000048,2023-08-23 10:00:00,신청,9,CS30,4,False
CALL000750,CUST003221,2024-11-09 10:00:00,불만,11,CS46,4,False
CALL000751,CUST003451,2023-03-02 12:00:00,기술지원,5,CS32,2,False
CALL000752,CUST004405,2023-04-01 12:00:00,신청,5,CS29,4,True
CALL000753,CUST001582,2023-10-13 15:00:00,불만,18,CS40,4,True
CALL000754,CUST000849,2023-10-13 18:00:00,기술지원,29,CS12,3,False
CALL000755,CUST003341,2023-08-05 10:00:00,기술지원,4,CS24,4,True
CALL000756,CUST003158,2024-06-21 09:00:00,요금조회,4,CS50,4,False
CALL000757,CUST000535,2023-03-09 14:00:00,홍보,27,CS28,2,False
CALL000758,CUST003282,2024-01-04 17:00:00,홍보,29,CS01,4,False
CALL000759,CUST003352,2024-09-08 11:00:00,불만,25,CS20,3,False
CALL000760,CUST002116,2024-12-18 08:00:00,기술지원,24,CS08,1,False
CALL000761,CUST003013,2024-11-20 10:00:00,기술지원,27,CS16,2,True
CALL000762,CUST001867,2024-10-04 08:00:00,기술지원,9,CS17,4,False
CALL000763,CUST000117,2023-05-11 08:00:00,요금조회,26,CS34,3,False
CALL000764,CUST004857,2024-10-11 11:00:00,홍보,17,CS12,3,False
CALL000765,CUST003756,2023-02-21 12:00:00,홍보,25,CS04,4,False
CALL000766,CUST004425,2024-12-13 10:00:00,신청,21,CS34,5,False
CALL000767,CUST002451,2023-08-13 10:00:00,요금조회,20,CS17,1,True
CALL000768,CUST001420,2023-05-14 15:00:00,요금조회,15,CS39,4,False
CALL000769,CUST000852,2024-05-24 13:00:00,기술지원,18,CS16,4,False
CALL000770,CUST004417,2023-05-11 09:00:00,불만,17,CS07,4,False
CALL000771,CUST002858,2023-09-07 13:00:00,요금조회,16,CS21,5,False
CALL000772,CUST002432,2023-07-18 08:00:00,불만,24,CS13,4,False
CALL000773,CUST001509,2023-05-14 16:00:00,홍보,11,CS39,5,False
CALL000774,CUST001898,2023-04-06 14:00:00,홍보,27,CS34,4,False
CALL000775,CUST004552,2023-12-10 08:00:00,기술지원,6,CS48,5,False
CALL000776,CUST002866,2024-02-21 12:00:00,홍보,13,CS13,2,False
CALL000777,CUST001683,2024-02-10 11:00:00,기술지원,16,CS49,5,False
CALL000778,CUST001343,2023-01-03 18:00:00,홍보,26,CS39,3,False
CALL000779,CUST000598,2023-02-28 13:00:00,불만,28,CS06,4,False
CALL000780,CUST001124,2024-09-01 11:00:00,기술지원,3,CS10,5,False
CALL000781,CUST000140,2024-03-26 15:00:00,홍보,18,CS09,3,False
CALL000782,CUST002264,2024-04-15 13:00:00,불만,2,CS26,3,True
CALL000783,CUST002063,2024-02-12 17:00:00,불만,8,CS01,5,False
CALL000784,CUST001659,2023-04-09 17:00:00,기술지원,6,CS02,2,False
CALL000785,CUST004434,2024-07-04 11:00:00,기술지원,28,CS01,5,False
CALL000786,CUST003372,2023-05-16 09:00:00,기술지원,29,CS05,5,False
CALL000787,CUST004790,2024-12-01 08:00:00,신청,6,CS19,5,False
CALL000788,CUST004540,2024-10-29 10:00:00,홍보,13,CS20,3,False
CALL000789,CUST002684,2024-09-04 09:00:00,요금조회,7,CS04,3,False
CALL000790,CUST004011,2024-03-01 18:00:00,요금조회,29,CS42,4,False
CALL000791,CUST002199,2024-12-03 09:00:00,신청,18,CS43,4,True
CALL000792,CUST000882,2024-04-25 12:00:00,기술지원,22,CS45,3,False
CALL000793,CUST002479,2024-01-23 17:00:00,신청,3,CS30,4,False
CALL000794,CUST004385,2023-02-11 10:00:00,기술지원,25,CS26,5,False
CALL000795,CUST002171,2024-08-19 16:00:00,요금조회,4,CS10,4,False
CALL000796,CUST003499,2023-08-12 09:00:00,신청,6,CS40,5,False
CALL000797,CUST002445,2023-01-30 12:00:00,불만,17,CS47,4,False
CALL000798,CUST001543,2023-09-11 16:00:00,신청,21,CS48,2,False
CALL000799,CUST001226,2023-10-10 09:00:00,신청,28,CS05,4,False
CALL000800,CUST001336,2024-09-26 14:00:00,기술지원,6,CS20,2,False
CALL000801,CUST003051,2024-02-06 10:00:00,홍보,8,CS48,5,False
CALL000802,CUST004441,2023-06-04 17:00:00,불만,17,CS42,4,True
CALL000803,CUST002639,2023-03-25 11:00:00,홍보,8,CS43,5,False
CALL000804,CUST001704,2023-05-02 14:00:00,기술지원,2,CS15,3,False
CALL000805,CUST002298,2024-05-13 08:00:00,기술지원,12,CS03,5,False
CALL000806,CUST002565,2024-05-28 08:00:00,기술지원,1,CS19,5,True
CALL000807,CUST003410,2024-01-11 14:00:00,불만,11,CS47,5,False
CALL000808,CUST002445,2024-07-24 13:00:00,신청,21,CS37,4,False
CALL000809,CUST003610,2024-03-03 14:00:00,홍보,24,CS05,2,False
CALL000810,CUST002375,2024-04-16 08:00:00,요금조회,6,CS14,5,False
CALL000811,CUST003326,2024-01-28 11:00:00,불만,16,CS20,4,False
CALL000812,CUST004082,2024-12-18 14:00:00,신청,10,CS08,4,False
CALL000813,CUST002308,2023-06-06 09:00:00,홍보,4,CS02,3,False
CALL000814,CUST000984,2024-08-07 16:00:00,기술지원,18,CS14,3,False
CALL000815,CUST000795,2024-02-08 13:00:00,홍보,24,CS34,4,False
CALL000816,CUST004033,2024-01-06 08:00:00,불만,16,CS37,5,False
CALL000817,CUST004964,2023-11-07 17:00:00,신청,28,CS32,3,False
CALL000818,CUST000985,2023-10-21 12:00:00,요금조회,23,CS21,4,False
CALL000819,CUST001276,2023-11-04 18:00:00,홍보,28,CS10,2,False
CALL000820,CUST000549,2023-02-07 15:00:00,신청,9,CS41,4,False
CALL000821,CUST000604,2024-03-17 14:00:00,신청,24,CS35,5,False
CALL000822,CUST002806,2023-07-21 18:00:00,홍보,23,CS31,5,False
CALL000823,CUST004163,2023-11-10 17:00:00,기술지원,28,CS09,5,False
CALL000824,CUST004915,2023-07-13 11:00:00,요금조회,16,CS03,5,False
CALL000825,CUST001220,2024-08-04 14:00:00,불만,11,CS38,5,False
CALL000826,CUST002471,2023-12-19 08:00:00,신청,29,CS40,5,True
CALL000827,CUST004817,2023-11-06 18:00:00,불만,22,CS35,5,False
CALL000828,CUST000733,2024-09-11 14:00:00,신청,28,CS28,5,False
CALL000829,CUST000089,2023-06-21 15:00:00,요금조회,11,CS42,4,False
CALL000830,CUST003356,2023-07-14 10:00:00,기술지원,21,CS21,5,False
CALL000831,CUST001184,2023-06-22 14:00:00,기술지원,5,CS43,4,False
CALL000832,CUST000021,2023-05-18 14:00:00,불만,22,CS25,5,False
CALL000833,CUST004745,2023-05-01 09:00:00,불만,3,CS20,5,False
CALL000834,CUST003913,2023-10-30 10:00:00,홍보,25,CS11,3,False
CALL000835,CUST000461,2023-09-19 11:00:00,기술지원,18,CS48,4,False
CALL000836,CUST004981,2024-02-25 18:00:00,불만,28,CS43,4,False
CALL000837,CUST004912,2023-05-21 13:00:00,요금조회,27,CS45,1,True
CALL000838,CUST000359,2024-11-01 16:00:00,신청,23,CS09,4,False
CALL000839,CUST000396,2024-12-13 13:00:00,기술지원,3,CS19,4,False
CALL000840,CUST003696,2023-09-30 18:00:00,신청,29,CS01,4,False
CALL000841,CUST004721,2023-06-04 09:00:00,홍보,3,CS22,4,False
CALL000842,CUST002941,2024-11-26 16:00:00,요금조회,21,CS40,5,False
CALL000843,CUST003425,2024-06-09 18:00:00,기술지원,16,CS46,5,False
CALL000844,CUST002158,2023-02-10 16:00:00,신청,22,CS42,5,False
CALL000845,CUST001489,2024-05-19 17:00:00,신청,26,CS10,5,False
CALL000846,CUST001754,2024-12-04 17:00:00,신청,29,CS04,5,False
CALL000847,CUST004107,2023-04-11 17:00:00,신청,18,CS34,4,True
CALL000848,CUST002554,2024-02-22 10:00:00,홍보,22,CS12,4,False
CALL000849,CUST001856,2024-10-16 11:00:00,요금조회,14,CS15,4,False
CALL000850,CUST000690,2023-11-15 09:00:00,요금조회,10,CS22,4,False
CALL000851,CUST002492,2024-11-04 17:00:00,신청,16,CS15,3,False
CALL000852,CUST000967,2024-08-07 18:00:00,신청,20,CS02,5,False
CALL000853,CUST002191,2024-01-25 12:00:00,신청,3,CS37,5,False
CALL000854,CUST002184,2023-08-14 11:00:00,홍보,5,CS32,4,False
CALL000855,CUST000286,2024-07-27 13:00:00,기술지원,19,CS28,4,True
CALL000856,CUST000487,2023-09-03 10:00:00,신청,28,CS28,5,False
CALL000857,CUST000957,2023-10-16 15:00:00,요금조회,20,CS39,4,False
CALL000858,CUST003486,2023-07-11 13:00:00,불만,20,CS07,5,False
CALL000859,CUST003594,2024-11-13 08:00:00,요금조회,18,CS40,3,False
CALL000860,CUST003829,2024-01-09 16:00:00,홍보,23,CS17,2,False
CALL000861,CUST002029,2023-08-30 11:00:00,요금조회,6,CS36,5,False
CALL000862,CUST004835,2023-09-09 12:00:00,요금조회,12,CS40,4,False
CALL000863,CUST003339,2023-07-27 08:00:00,불만,6,CS26,5,False
CALL000864,CUST001043,2024-12-07 11:00:00,홍보,18,CS09,5,False
CALL000865,CUST002295,2023-03-21 09:00:00,요금조회,12,CS37,5,False
CALL000866,CUST004570,2024-12-24 13:00:00,기술지원,27,CS50,4,False
CALL000867,CUST002909,2024-11-15 16:00:00,홍보,15,CS35,4,False
CALL000868,CUST002268,2024-05-26 14:00:00,신청,5,CS03,1,False
CALL000869,CUST003704,2023-01-29 13:00:00,신청,25,CS42,5,False
CALL000870,CUST004286,2023-10-01 13:00:00,요금조회,6,CS24,3,False
CALL000871,CUST004844,2024-04-23 14:00:00,신청,24,CS26,5,False
CALL000872,CUST002205,2024-12-07 17:00:00,홍보,5,CS35,5,False
CALL000873,CUST004047,2024-11-22 12:00:00,홍보,15,CS09,4,False
CALL000874,CUST000243,2024-05-26 13:00:00,기술지원,9,CS01,3,False
CALL000875,CUST002696,2024-04-09 14:00:00,요금조회,21,CS06,4,False
CALL000876,CUST004776,2024-08-23 12:00:00,요금조회,17,CS31,1,False
CALL000877,CUST002985,2024-10-12 13:00:00,기술지원,23,CS43,4,True
CALL000878,CUST003912,2023-07-24 13:00:00,기술지원,25,CS24,2,False
CALL000879,CUST003978,2023-09-03 14:00:00,신청,23,CS16,5,False
CALL000880,CUST000215,2024-01-15 17:00:00,홍보,16,CS41,4,False
CALL000881,CUST001639,2024-04-28 12:00:00,불만,25,CS01,5,False
CALL000882,CUST004228,2024-02-07 14:00:00,요금조회,13,CS29,4,False
CALL000883,CUST001692,2024-08-31 16:00:00,불만,13,CS40,5,False
CALL000884,CUST000448,2024-01-27 09:00:00,불만,19,CS27,5,False
CALL000885,CUST002377,2024-03-17 11:00:00,신청,4,CS27,5,False
CALL000886,CUST003745,2023-10-15 10:00:00,불만,12,CS07,4,True
CALL000887,CUST003834,2023-03-22 10:00:00,요금조회,10,CS34,4,False
CALL000888,CUST003395,2023-12-18 12:00:00,기술지원,23,CS28,2,False
CALL000889,CUST004991,2024-01-14 08:00:00,신청,25,CS37,4,False
CALL000890,CUST002944,2024-07-02 08:00:00,불만,4,CS22,1,False
CALL000891,CUST001372,2024-08-09 13:00:00,기술지원,1,CS31,1,False
CALL000892,CUST000934,2024-09-25 12:00:00,홍보,1,CS10,4,True
CALL000893,CUST000466,2024-06-04 09:00:00,기술지원,6,CS49,5,True
CALL000894,CUST004239,2023-12-16 10:00:00,신청,7,CS49,5,True
CALL000895,CUST001147,2024-02-13 17:00:00,요금조회,28,CS42,3,False
CALL000896,CUST002811,2023-05-27 13:00:00,불만,25,CS47,4,False
CALL000897,CUST002044,2024-01-16 17:00:00,불만,20,CS42,4,False
CALL000898,CUST000873,2024-01-26 14:00:00,기술지원,28,CS50,4,True
CALL000899,CUST001863,2023-11-06 15:00:00,불만,25,CS19,5,False
CALL000900,CUST000241,2023-07-06 09:00:00,신청,17,CS01,5,False
CALL000901,CUST002316,2023-09-03 08:00:00,기술지원,9,CS20,5,False
CALL000902,CUST003870,2024-04-09 12:00:00,불만,5,CS16,4,False
CALL000903,CUST000900,2023-05-20 11:00:00,불만,23,CS20,4,False
CALL000904,CUST001246,2024-01-12 17:00:00,신청,10,CS32,5,False
CALL000905,CUST003600,2023-05-02 12:00:00,요금조회,26,CS17,4,False
CALL000906,CUST000054,2023-07-05 14:00:00,신청,17,CS08,3,False
CALL000907,CUST001996,2023-05-06 12:00:00,신청,25,CS46,4,False
CALL000908,CUST001252,2023-02-23 18:00:00,신청,5,CS11,5,False
CALL000909,CUST002992,2023-09-29 18:00:00,기술지원,7,CS21,4,False
CALL000910,CUST003116,2024-07-11 17:00:00,요금조회,14,CS15,5,False
CALL000911,CUST000527,2023-07-20 11:00:00,기술지원,10,CS05,4,False
CALL000912,CUST003407,2023-06-11 14:00:00,기술지원,9,CS43,5,False
CALL000913,CUST002850,2023-04-30 12:00:00,기술지원,18,CS13,5,False
CALL000914,CUST001808,2023-11-21 12:00:00,홍보,7,CS31,5,False
CALL000915,CUST004033,2023-08-07 08:00:00,신청,12,CS43,3,False
CALL000916,CUST003929,2024-04-08 17:00:00,불만,12,CS40,5,False
CALL000917,CUST003442,2024-02-27 11:00:00,기술지원,25,CS21,4,False
CALL000918,CUST004671,2024-11-04 15:00:00,홍보,29,CS26,5,False
CALL000919,CUST002036,2023-08-20 09:00:00,신청,26,CS07,5,False
CALL000920,CUST004407,2024-11-28 08:00:00,기술지원,10,CS01,2,False
CALL000921,CUST003860,2023-01-31 16:00:00,기술지원,10,CS04,4,False
CALL000922,CUST001271,2024-10-23 18:00:00,신청,17,CS32,5,True
CALL000923,CUST004985,2023-05-05 15:00:00,홍보,18,CS32,5,False
CALL000924,CUST002400,2024-06-27 13:00:00,홍보,17,CS32,4,False
CALL000925,CUST000313,2023-06-21 10:00:00,홍보,27,CS13,4,False
CALL000926,CUST002502,2023-05-04 09:00:00,요금조회,21,CS42,1,True
CALL000927,CUST003018,2024-01-13 16:00:00,기술지원,22,CS11,5,False
CALL000928,CUST000043,2024-04-02 09:00:00,홍보,25,CS05,4,False
CALL000929,CUST002974,2024-07-24 12:00:00,신청,13,CS32,1,False
CALL000930,CUST004290,2023-11-22 10:00:00,요금조회,11,CS23,4,False
CALL000931,CUST004118,2023-08-03 13:00:00,신청,27,CS04,5,False
CALL000932,CUST003535,2024-11-04 12:00:00,신청,11,CS15,4,True
CALL000933,CUST004155,2023-06-30 14:00:00,요금조회,15,CS27,2,False
CALL000934,CUST004600,2024-06-01 15:00:00,기술지원,26,CS06,5,False
CALL000935,CUST000248,2023-09-23 12:00:00,신청,27,CS49,4,False
CALL000936,CUST001507,2024-11-27 18:00:00,요금조회,24,CS37,4,False
CALL000937,CUST000850,2024-11-26 15:00:00,기술지원,12,CS49,3,False
CALL000938,CUST003497,2023-02-19 09:00:00,기술지원,13,CS43,5,False
CALL000939,CUST003568,2024-05-24 11:00:00,불만,6,CS12,4,False
CALL000940,CUST001019,2024-10-20 10:00:00,불만,5,CS03,3,False
CALL000941,CUST004030,2024-10-25 18:00:00,요금조회,16,CS10,5,False
CALL000942,CUST002010,2023-01-26 16:00:00,신청,16,CS45,5,False
CALL000943,CUST004491,2024-02-25 13:00:00,홍보,14,CS22,3,False
CALL000944,CUST004526,2023-06-01 11:00:00,신청,23,CS40,5,False
CALL000945,CUST002737,2024-03-31 15:00:00,요금조회,27,CS48,4,False
CALL000946,CUST002007,2024-04-08 10:00:00,요금조회,6,CS38,5,False
CALL000947,CUST003690,2024-08-14 14:00:00,불만,21,CS39,5,False
CALL000948,CUST003585,2024-02-14 18:00:00,기술지원,6,CS47,4,False
CALL000949,CUST000700,2023-11-28 14:00:00,기술지원,10,CS05,5,True
CALL000950,CUST000475,2023-07-12 11:00:00,홍보,23,CS38,5,False
CALL000951,CUST001807,2024-04-24 08:00:00,불만,23,CS13,4,False
CALL000952,CUST003570,2023-04-25 12:00:00,기술지원,6,CS34,5,True
CALL000953,CUST003029,2023-03-05 18:00:00,기술지원,2,CS31,4,False
CALL000954,CUST000382,2023-02-17 18:00:00,요금조회,15,CS13,4,False
CALL000955,CUST004496,2024-12-18 13:00:00,신청,3,CS14,5,False
CALL000956,CUST003497,2023-06-06 15:00:00,불만,28,CS30,4,False
CALL000957,CUST004501,2024-07-03 09:00:00,기술지원,9,CS03,5,False
CALL000958,CUST002541,2023-01-26 13:00:00,홍보,18,CS13,4,False
CALL000959,CUST004755,2023-11-30 18:00:00,기술지원,18,CS20,2,False
CALL000960,CUST004192,2024-06-15 18:00:00,불만,23,CS47,4,False
CALL000961,CUST000245,2023-02-16 08:00:00,요금조회,19,CS12,4,False
CALL000962,CUST002480,2023-01-26 10:00:00,불만,24,CS19,5,False
CALL000963,CUST003243,2024-05-10 18:00:00,요금조회,1,CS20,5,False
CALL000964,CUST000796,2023-07-02 10:00:00,홍보,10,CS18,4,False
CALL000965,CUST000691,2023-03-09 12:00:00,기술지원,19,CS29,4,False
CALL000966,CUST004622,2023-07-10 13:00:00,신청,21,CS19,1,False
CALL000967,CUST003309,2024-04-19 18:00:00,홍보,18,CS36,5,False
CALL000968,CUST000377,2023-07-19 09:00:00,기술지원,11,CS39,4,False
CALL000969,CUST001968,2024-03-11 08:00:00,홍보,9,CS01,4,False
CALL000970,CUST001376,2024-09-10 12:00:00,홍보,27,CS50,4,False
CALL000971,CUST002079,2023-08-21 17:00:00,불만,2,CS18,4,False
CALL000972,CUST003444,2024-12-09 09:00:00,홍보,18,CS32,4,False
CALL000973,CUST001484,2023-08-11 14:00:00,신청,23,CS28,3,False
CALL000974,CUST004329,2024-06-25 18:00:00,홍보,2,CS02,4,False
CALL000975,CUST000161,2024-12-11 09:00:00,불만,8,CS29,5,False
CALL000976,CUST001970,2024-05-21 10:00:00,신청,17,CS48,2,False
CALL000977,CUST003675,2023-02-05 11:00:00,홍보,11,CS35,2,False
CALL000978,CUST002826,2023-05-05 11:00:00,신청,6,CS27,4,False
CALL000979,CUST001380,2024-01-23 17:00:00,홍보,1,CS09,4,False
CALL000980,CUST001215,2023-12-21 13:00:00,기술지원,11,CS50,4,False
CALL000981,CUST004049,2024-12-27 10:00:00,홍보,19,CS15,4,False
CALL000982,CUST003732,2024-06-14 14:00:00,기술지원,18,CS21,3,False
CALL000983,CUST001953,2023-06-30 08:00:00,불만,29,CS05,5,False
CALL000984,CUST002422,2024-09-07 18:00:00,기술지원,22,CS01,5,False
CALL000985,CUST000352,2023-07-10 17:00:00,불만,26,CS45,4,False
CALL000986,CUST001551,2024-10-08 15:00:00,요금조회,25,CS31,5,False
CALL000987,CUST001822,2023-09-10 13:00:00,기술지원,25,CS27,5,True
CALL000988,CUST000520,2023-05-11 13:00:00,불만,18,CS21,4,True
CALL000989,CUST000384,2024-09-22 13:00:00,기술지원,12,CS05,5,False
CALL000990,CUST001215,2024-11-06 18:00:00,홍보,2,CS50,3,True
CALL000991,CUST003492,2023-08-07 11:00:00,기술지원,11,CS49,4,False
CALL000992,CUST002125,2023-06-01 10:00:00,불만,7,CS39,4,False
CALL000993,CUST001549,2023-06-04 18:00:00,신청,16,CS05,4,False
CALL000994,CUST004920,2024-12-10 15:00:00,요금조회,20,CS31,5,False
CALL000995,CUST002816,2023-08-21 17:00:00,신청,5,CS41,1,True
CALL000996,CUST000591,2023-07-14 16:00:00,불만,9,CS03,4,False
CALL000997,CUST003984,2024-09-09 17:00:00,신청,5,CS45,4,True
CALL000998,CUST004274,2023-06-28 08:00:00,요금조회,16,CS36,5,False
CALL000999,CUST000789,2023-10-22 13:00:00,기술지원,22,CS50,4,False
CALL001000,CUST000738,2024-04-30 11:00:00,기술지원,27,CS23,5,False
CALL001001,CUST003503,2023-12-29 11:00:00,요금조회,26,CS06,4,False
CALL001002,CUST004547,2023-05-13 11:00:00,홍보,16,CS31,5,False
CALL001003,CUST002532,2024-03-09 14:00:00,신청,25,CS45,4,False
CALL001004,CUST001185,2023-03-31 16:00:00,신청,17,CS16,5,False
CALL001005,CUST004407,2023-12-25 08:00:00,요금조회,13,CS43,4,False
CALL001006,CUST000442,2024-04-25 14:00:00,신청,2,CS11,4,False
CALL001007,CUST002858,2023-04-04 08:00:00,신청,7,CS35,4,False
CALL001008,CUST001473,2024-07-18 15:00:00,홍보,23,CS38,1,True
CALL001009,CUST003333,2023-02-16 16:00:00,신청,17,CS23,3,False
CALL001010,CUST004883,2023-07-11 14:00:00,신청,2,CS06,4,False
CALL001011,CUST003484,2024-09-13 15:00:00,요금조회,18,CS18,5,False
CALL001012,CUST003189,2023-05-04 16:00:00,신청,29,CS23,5,False
CALL001013,CUST000980,2023-06-12 11:00:00,신청,18,CS25,5,False
CALL001014,CUST001586,2024-01-26 08:00:00,신청,10,CS13,5,False
CALL001015,CUST004122,2023-04-12 08:00:00,기술지원,18,CS17,4,False
CALL001016,CUST003616,2024-05-18 09:00:00,불만,19,CS03,3,False
CALL001017,CUST002401,2023-06-09 14:00:00,요금조회,22,CS39,5,False
CALL001018,CUST000616,2023-04-13 13:00:00,요금조회,10,CS05,3,False
CALL001019,CUST004680,2024-10-22 16:00:00,홍보,8,CS36,2,False
CALL001020,CUST000480,2023-08-16 16:00:00,기술지원,15,CS23,5,False
CALL001021,CUST001792,2024-11-25 16:00:00,홍보,25,CS33,2,False
CALL001022,CUST001408,2024-10-09 10:00:00,신청,5,CS01,1,False
CALL001023,CUST003677,2024-12-24 09:00:00,불만,19,CS23,3,True
CALL001024,CUST000165,2024-05-19 18:00:00,기술지원,5,CS23,5,False
CALL001025,CUST001573,2024-10-07 14:00:00,신청,5,CS35,5,False
CALL001026,CUST000222,2024-12-25 12:00:00,홍보,21,CS48,5,False
CALL001027,CUST002221,2024-06-30 12:00:00,요금조회,3,CS06,5,False
CALL001028,CUST004645,2024-02-17 15:00:00,요금조회,21,CS47,4,False
CALL001029,CUST003473,2023-07-25 13:00:00,불만,16,CS48,2,False
CALL001030,CUST003895,2024-03-29 12:00:00,요금조회,8,CS07,5,False
CALL001031,CUST001905,2023-05-15 10:00:00,불만,29,CS21,4,False
CALL001032,CUST002575,2023-08-03 11:00:00,요금조회,28,CS29,3,False
CALL001033,CUST004806,2024-12-08 10:00:00,요금조회,16,CS17,4,False
CALL001034,CUST002488,2023-05-26 10:00:00,요금조회,19,CS18,3,False
CALL001035,CUST003684,2024-12-30 16:00:00,신청,21,CS46,5,False
CALL001036,CUST004810,2023-01-18 18:00:00,요금조회,14,CS40,3,True
CALL001037,CUST003670,2023-04-19 17:00:00,기술지원,18,CS26,4,False
CALL001038,CUST001629,2023-10-27 12:00:00,홍보,2,CS43,4,False
CALL001039,CUST001345,2023-06-07 13:00:00,불만,4,CS24,4,True
CALL001040,CUST004321,2024-07-27 18:00:00,요금조회,12,CS16,4,False
CALL001041,CUST000924,2024-08-02 10:00:00,불만,23,CS39,3,False
CALL001042,CUST003625,2024-11-11 18:00:00,불만,18,CS43,4,False
CALL001043,CUST001231,2024-10-08 10:00:00,기술지원,24,CS08,5,False
CALL001044,CUST000030,2023-07-02 13:00:00,기술지원,29,CS26,4,False
CALL001045,CUST000450,2024-02-19 08:00:00,불만,28,CS04,3,False
CALL001046,CUST004328,2024-01-22 10:00:00,불만,4,CS42,5,False
CALL001047,CUST004343,2024-09-24 13:00:00,홍보,26,CS32,5,False
CALL001048,CUST000483,2023-08-05 13:00:00,기술지원,20,CS31,4,True
CALL001049,CUST004902,2024-11-02 08:00:00,홍보,8,CS01,4,True
CALL001050,CUST003824,2024-02-03 11:00:00,홍보,12,CS04,4,False
CALL001051,CUST001632,2024-10-12 15:00:00,홍보,8,CS19,2,False
CALL001052,CUST002928,2023-09-08 09:00:00,홍보,5,CS01,5,False
CALL001053,CUST002029,2024-10-25 09:00:00,기술지원,23,CS38,4,False
CALL001054,CUST000534,2024-06-28 08:00:00,홍보,24,CS16,5,False
CALL001055,CUST001470,2023-10-06 14:00:00,기술지원,1,CS01,3,False
CALL001056,CUST003934,2024-12-01 15:00:00,신청,16,CS46,4,False
CALL001057,CUST004882,2023-10-10 09:00:00,요금조회,28,CS20,4,False
CALL001058,CUST003257,2023-08-30 08:00:00,불만,6,CS21,4,False
CALL001059,CUST003211,2024-05-12 18:00:00,불만,6,CS20,5,False
