불만ID,고객ID,접수일시,카테고리,내용,상태,만족도,해결완료일
COMP000506,CUST004995,2024-09-25 11:00:00,서비스,정기점검을 안 해줬어요,완료,1,2023-08-11
COMP000507,CUST004637,2023-06-09 03:00:00,서비스,공급이 자주 끊겨요,접수,4,
COMP000508,CUST002572,2023-05-03 02:00:00,기타,앱 사용이 불편해요,처리중,4,
COMP000509,CUST001789,2024-11-23 21:00:00,요금,요금이 지난달보다 많이 나왔어요,처리중,1,
COMP000510,CUST004722,2024-05-19 19:00:00,안전,앱 사용이 불편해요,보류,5,2023-02-06
COMP000511,CUST003569,2023-01-07 17:00:00,안전,청구서 오류가 있습니다,접수,5,
COMP000512,CUST002943,2023-02-13 15:00:00,기술,환불이 안 되네요,완료,4,
COMP000513,CUST000071,2024-01-16 19:00:00,기타,앱 사용이 불편해요,접수,1,
COMP000514,CUST003683,2023-11-19 15:00:00,공급,앱 사용이 불편해요,처리중,2,2023-01-07
COMP000515,CUST000717,2024-08-11 08:00:00,서비스,앱 사용이 불편해요,완료,2,
COMP000516,CUST003959,2024-05-17 05:00:00,안전,공급이 자주 끊겨요,완료,4,2023-12-29
COMP000517,CUST002975,2024-06-07 08:00:00,공급,고객센터 응답이 느려요,완료,5,2023-12-25
COMP000518,CUST002239,2024-02-12 07:00:00,서비스,공급이 자주 끊겨요,완료,3,
COMP000519,CUST004265,2024-08-13 04:00:00,기술,청구서 오류가 있습니다,완료,5,2023-12-30
COMP000520,CUST000814,2023-02-25 16:00:00,안전,공급이 자주 끊겨요,완료,2,2024-03-17
COMP000521,CUST002962,2024-03-09 15:00:00,공급,가스 냄새가 심합니다,처리중,1,2023-03-28
COMP000522,CUST004831,2024-07-07 01:00:00,서비스,계약 변경이 어려워요,완료,4,2023-06-07
COMP000523,CUST001362,2024-05-29 11:00:00,기술,고객센터 응답이 느려요,접수,4,2024-05-14
COMP000524,CUST001091,2024-02-08 21:00:00,안전,고객센터 응답이 느려요,접수,2,2024-11-03
COMP000525,CUST000221,2023-06-28 14:00:00,공급,환불이 안 되네요,완료,4,2024-04-26
COMP000526,CUST000064,2023-05-04 22:00:00,요금,계약 변경이 어려워요,완료,4,2023-11-03
COMP000527,CUST002006,2024-06-14 14:00:00,공급,상담원 친절도가 떨어져요,완료,1,2023-07-06
COMP000528,CUST001160,2023-11-20 22:00:00,요금,상담원 친절도가 떨어져요,완료,3,2023-10-03
COMP000529,CUST004369,2023-01-09 00:00:00,기술,가스 냄새가 심합니다,보류,2,2024-03-25
COMP000530,CUST000970,2024-11-21 06:00:00,공급,상담원 친절도가 떨어져요,완료,4,
COMP000531,CUST003895,2024-01-24 18:00:00,안전,요금이 지난달보다 많이 나왔어요,처리중,3,2023-05-24
COMP000532,CUST004837,2023-04-14 10:00:00,요금,환불이 안 되네요,완료,2,2024-03-20
COMP000533,CUST003492,2024-01-06 19:00:00,기술,상담원 친절도가 떨어져요,접수,1,2024-12-27
COMP000534,CUST004765,2023-09-23 05:00:00,요금,고객센터 응답이 느려요,보류,5,2023-07-14
COMP000535,CUST001570,2024-07-15 08:00:00,안전,정기점검을 안 해줬어요,완료,1,2023-05-17
COMP000536,CUST002745,2023-08-31 08:00:00,서비스,공급이 자주 끊겨요,접수,5,2023-12-06
COMP000537,CUST003915,2024-04-27 19:00:00,기타,가스 냄새가 심합니다,보류,2,
COMP000538,CUST000799,2023-12-18 11:00:00,요금,앱 사용이 불편해요,완료,2,2023-07-23
COMP000539,CUST004226,2023-07-08 15:00:00,요금,공급이 자주 끊겨요,접수,5,
COMP000540,CUST004989,2024-03-10 06:00:00,안전,청구서 오류가 있습니다,접수,3,
COMP000541,CUST002245,2024-03-05 22:00:00,기술,요금이 지난달보다 많이 나왔어요,완료,4,
COMP000542,CUST002756,2024-01-17 11:00:00,공급,계약 변경이 어려워요,접수,3,2024-05-15
COMP000543,CUST003688,2024-02-15 08:00:00,기타,공급이 자주 끊겨요,접수,3,2024-11-29
COMP000544,CUST003008,2024-04-06 05:00:00,서비스,정기점검을 안 해줬어요,완료,1,
COMP000545,CUST002541,2024-08-08 04:00:00,기타,청구서 오류가 있습니다,완료,1,2024-02-14
COMP000546,CUST000375,2024-08-12 21:00:00,안전,상담원 친절도가 떨어져요,접수,5,2024-02-03
COMP000547,CUST001047,2023-08-23 03:00:00,서비스,공급이 자주 끊겨요,완료,2,2023-04-21
COMP000548,CUST001135,2023-10-04 07:00:00,서비스,청구서 오류가 있습니다,완료,5,
COMP000549,CUST000752,2024-07-22 13:00:00,기타,고객센터 응답이 느려요,처리중,2,2023-12-19
COMP000550,CUST002901,2024-01-26 06:00:00,안전,요금이 지난달보다 많이 나왔어요,완료,4,2024-12-01
COMP000551,CUST004611,2023-05-30 23:00:00,서비스,공급이 자주 끊겨요,완료,1,2024-11-25
COMP000552,CUST004952,2023-06-03 15:00:00,요금,앱 사용이 불편해요,완료,2,
COMP000553,CUST002567,2023-01-10 05:00:00,기타,앱 사용이 불편해요,완료,3,2024-09-03
COMP000554,CUST000380,2024-03-07 15:00:00,서비스,앱 사용이 불편해요,완료,5,
COMP000555,CUST000908,2023-05-18 20:00:00,기타,계약 변경이 어려워요,완료,3,2023-10-24
COMP000556,CUST003166,2024-06-13 17:00:00,서비스,상담원 친절도가 떨어져요,처리중,1,2023-03-26
COMP000557,CUST001079,2023-11-20 15:00:00,기술,요금이 지난달보다 많이 나왔어요,처리중,3,
COMP000558,CUST004431,2023-11-04 08:00:00,기술,청구서 오류가 있습니다,처리중,1,2023-06-06
COMP000559,CUST002836,2024-07-29 18:00:00,안전,요금이 지난달보다 많이 나왔어요,처리중,4,
COMP000560,CUST003948,2023-02-18 12:00:00,기술,상담원 친절도가 떨어져요,완료,3,2023-10-15
COMP000561,CUST003356,2023-04-12 22:00:00,서비스,앱 사용이 불편해요,접수,3,
COMP000562,CUST004010,2023-06-17 01:00:00,기타,청구서 오류가 있습니다,처리중,1,
COMP000563,CUST002663,2023-08-09 08:00:00,기타,상담원 친절도가 떨어져요,완료,3,
COMP000564,CUST003496,2024-05-02 20:00:00,기술,고객센터 응답이 느려요,접수,5,2024-03-15
COMP000565,CUST002854,2023-04-09 14:00:00,안전,가스 냄새가 심합니다,처리중,1,2024-12-24
COMP000566,CUST003792,2023-12-09 08:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,3,
COMP000567,CUST001753,2024-01-05 11:00:00,공급,계약 변경이 어려워요,접수,3,2024-05-29
COMP000568,CUST004164,2024-07-27 17:00:00,안전,청구서 오류가 있습니다,처리중,2,
COMP000569,CUST004046,2023-09-21 11:00:00,안전,요금이 지난달보다 많이 나왔어요,접수,2,2024-08-28
COMP000570,CUST002323,2023-01-21 13:00:00,안전,공급이 자주 끊겨요,접수,5,
COMP000571,CUST000137,2023-05-05 11:00:00,공급,환불이 안 되네요,접수,3,2023-05-04
COMP000572,CUST002509,2024-11-26 19:00:00,요금,상담원 친절도가 떨어져요,완료,5,2023-02-09
COMP000573,CUST004732,2023-07-23 18:00:00,요금,정기점검을 안 해줬어요,보류,3,2023-07-16
COMP000574,CUST000472,2024-08-12 20:00:00,안전,공급이 자주 끊겨요,보류,1,
COMP000575,CUST003594,2024-10-26 17:00:00,기타,정기점검을 안 해줬어요,접수,2,2024-09-23
COMP000576,CUST004235,2023-06-28 09:00:00,요금,계약 변경이 어려워요,완료,3,2023-02-22
COMP000577,CUST000599,2023-12-30 10:00:00,기타,고객센터 응답이 느려요,완료,4,2024-06-21
COMP000578,CUST001655,2024-11-20 16:00:00,서비스,가스 냄새가 심합니다,완료,5,2024-10-10
COMP000579,CUST001235,2024-05-14 23:00:00,기타,정기점검을 안 해줬어요,처리중,5,
COMP000580,CUST000820,2024-04-02 02:00:00,공급,공급이 자주 끊겨요,완료,3,2024-03-12
COMP000581,CUST003250,2024-01-26 19:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,1,2024-06-06
COMP000582,CUST002449,2023-10-21 14:00:00,기술,가스 냄새가 심합니다,보류,1,2023-02-22
COMP000583,CUST000556,2024-10-08 04:00:00,기술,고객센터 응답이 느려요,완료,3,2023-10-03
COMP000584,CUST000966,2023-06-21 20:00:00,기타,정기점검을 안 해줬어요,처리중,4,2023-12-26
COMP000585,CUST004850,2023-12-12 13:00:00,기술,정기점검을 안 해줬어요,접수,2,
COMP000586,CUST001918,2024-10-08 19:00:00,요금,계약 변경이 어려워요,완료,2,2023-02-18
COMP000587,CUST001405,2024-08-08 12:00:00,요금,고객센터 응답이 느려요,보류,1,2023-01-01
COMP000588,CUST000435,2023-03-15 02:00:00,기술,공급이 자주 끊겨요,완료,4,2023-11-26
COMP000589,CUST004689,2023-06-15 10:00:00,서비스,계약 변경이 어려워요,접수,5,2024-04-28
COMP000590,CUST002517,2023-08-22 10:00:00,서비스,앱 사용이 불편해요,완료,5,2024-09-13
COMP000591,CUST000093,2023-11-21 20:00:00,서비스,정기점검을 안 해줬어요,완료,4,2023-07-09
COMP000592,CUST001776,2023-10-26 22:00:00,안전,계약 변경이 어려워요,완료,5,2024-05-18
COMP000593,CUST003978,2023-10-01 19:00:00,기술,상담원 친절도가 떨어져요,완료,2,2023-11-08
COMP000594,CUST000113,2024-10-22 12:00:00,서비스,고객센터 응답이 느려요,완료,4,2024-11-16
COMP000595,CUST003235,2023-10-05 14:00:00,기술,청구서 오류가 있습니다,처리중,4,2024-07-19
COMP000596,CUST003898,2024-01-07 23:00:00,기타,공급이 자주 끊겨요,완료,1,
COMP000597,CUST003039,2024-08-24 16:00:00,공급,청구서 오류가 있습니다,완료,2,2024-01-05
COMP000598,CUST004499,2024-04-06 13:00:00,서비스,환불이 안 되네요,완료,3,
COMP000599,CUST000934,2023-06-21 05:00:00,공급,가스 냄새가 심합니다,처리중,2,2024-08-26
COMP000600,CUST000685,2023-01-24 04:00:00,안전,앱 사용이 불편해요,처리중,3,2024-01-16
COMP000601,CUST002827,2023-08-29 21:00:00,기술,앱 사용이 불편해요,완료,2,2023-10-10
COMP000602,CUST004620,2023-09-15 23:00:00,기타,정기점검을 안 해줬어요,완료,2,2024-01-29
COMP000603,CUST000883,2024-12-18 23:00:00,안전,앱 사용이 불편해요,접수,2,2023-04-19
COMP000604,CUST004487,2023-03-23 06:00:00,서비스,계약 변경이 어려워요,접수,1,2024-09-08
COMP000605,CUST002425,2023-06-20 12:00:00,기술,상담원 친절도가 떨어져요,완료,5,2024-08-23
COMP000606,CUST002007,2023-04-16 03:00:00,안전,상담원 친절도가 떨어져요,접수,5,
COMP000607,CUST004827,2023-03-07 15:00:00,요금,정기점검을 안 해줬어요,접수,2,
COMP000608,CUST002679,2024-07-15 01:00:00,기타,공급이 자주 끊겨요,처리중,3,
COMP000609,CUST003081,2023-01-27 12:00:00,기술,정기점검을 안 해줬어요,완료,2,2024-04-01
COMP000610,CUST002532,2024-06-20 02:00:00,기타,청구서 오류가 있습니다,완료,5,
COMP000611,CUST001651,2023-04-17 08:00:00,서비스,상담원 친절도가 떨어져요,보류,1,2024-07-13
COMP000612,CUST000102,2024-09-24 04:00:00,기타,고객센터 응답이 느려요,접수,5,
COMP000613,CUST001405,2023-03-28 20:00:00,공급,정기점검을 안 해줬어요,접수,4,2024-04-30
COMP000614,CUST003493,2024-02-04 09:00:00,기술,정기점검을 안 해줬어요,처리중,3,
COMP000615,CUST002667,2023-08-23 07:00:00,기술,공급이 자주 끊겨요,완료,3,2023-06-07
COMP000616,CUST001109,2023-10-18 14:00:00,요금,요금이 지난달보다 많이 나왔어요,완료,2,2023-07-16
COMP000617,CUST002390,2024-10-03 04:00:00,기술,환불이 안 되네요,완료,2,2024-12-29
COMP000618,CUST004259,2023-05-15 16:00:00,기타,청구서 오류가 있습니다,완료,1,2024-07-27
COMP000619,CUST004447,2023-06-24 00:00:00,공급,앱 사용이 불편해요,완료,3,
COMP000620,CUST003768,2023-02-05 21:00:00,기타,가스 냄새가 심합니다,보류,1,
COMP000621,CUST004678,2024-01-01 10:00:00,기술,고객센터 응답이 느려요,보류,2,2023-05-01
COMP000622,CUST001753,2024-05-02 14:00:00,요금,앱 사용이 불편해요,완료,4,
COMP000623,CUST004632,2024-07-07 08:00:00,안전,환불이 안 되네요,완료,5,2024-03-05
COMP000624,CUST001107,2024-07-15 14:00:00,기술,환불이 안 되네요,접수,5,2024-05-30
COMP000625,CUST000365,2023-05-19 22:00:00,요금,공급이 자주 끊겨요,완료,1,
COMP000626,CUST004239,2024-07-06 05:00:00,서비스,계약 변경이 어려워요,접수,2,2023-10-08
COMP000627,CUST000740,2024-08-28 19:00:00,안전,앱 사용이 불편해요,처리중,4,
COMP000628,CUST004775,2024-04-12 20:00:00,안전,정기점검을 안 해줬어요,처리중,4,2023-02-16
COMP000629,CUST004324,2024-10-13 18:00:00,서비스,공급이 자주 끊겨요,접수,3,
COMP000630,CUST001885,2024-03-21 16:00:00,요금,앱 사용이 불편해요,처리중,3,2024-12-11
COMP000631,CUST000212,2024-10-17 20:00:00,공급,계약 변경이 어려워요,보류,3,2024-02-12
COMP000632,CUST003885,2024-06-30 09:00:00,서비스,고객센터 응답이 느려요,보류,2,2024-06-29
COMP000633,CUST001526,2023-12-22 15:00:00,기타,고객센터 응답이 느려요,완료,2,
COMP000634,CUST000487,2024-07-06 07:00:00,서비스,계약 변경이 어려워요,보류,3,
COMP000635,CUST002990,2023-04-02 14:00:00,기술,가스 냄새가 심합니다,완료,4,2024-06-05
COMP000636,CUST002472,2023-11-12 11:00:00,기술,환불이 안 되네요,접수,4,2024-02-04
COMP000637,CUST001519,2024-02-27 08:00:00,공급,정기점검을 안 해줬어요,접수,1,2023-10-06
COMP000638,CUST003811,2023-06-09 09:00:00,기타,계약 변경이 어려워요,완료,1,2023-01-04
COMP000639,CUST004451,2023-01-11 00:00:00,기타,상담원 친절도가 떨어져요,완료,5,2023-08-12
COMP000640,CUST003689,2024-06-19 04:00:00,기타,요금이 지난달보다 많이 나왔어요,접수,4,2023-01-10
COMP000641,CUST004405,2023-12-19 09:00:00,요금,환불이 안 되네요,접수,4,
COMP000642,CUST000141,2024-04-25 17:00:00,요금,공급이 자주 끊겨요,보류,2,
COMP000643,CUST003960,2023-01-09 22:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,3,2024-12-25
COMP000644,CUST003457,2024-05-18 15:00:00,안전,환불이 안 되네요,접수,2,
COMP000645,CUST001013,2023-11-03 00:00:00,요금,공급이 자주 끊겨요,완료,3,2023-08-14
COMP000646,CUST004902,2024-03-16 09:00:00,안전,환불이 안 되네요,완료,2,2023-10-02
COMP000647,CUST004917,2024-09-03 07:00:00,안전,정기점검을 안 해줬어요,완료,4,2023-06-25
COMP000648,CUST000051,2023-01-08 17:00:00,서비스,정기점검을 안 해줬어요,완료,3,2024-06-30
COMP000649,CUST003747,2024-01-18 06:00:00,요금,공급이 자주 끊겨요,접수,4,2023-02-10
COMP000650,CUST002982,2024-02-26 17:00:00,기술,앱 사용이 불편해요,완료,3,
COMP000651,CUST000773,2024-03-23 12:00:00,공급,상담원 친절도가 떨어져요,완료,4,
COMP000652,CUST000202,2023-09-13 05:00:00,요금,계약 변경이 어려워요,완료,4,2023-05-17
COMP000653,CUST002699,2024-10-23 12:00:00,요금,청구서 오류가 있습니다,완료,4,2023-02-22
COMP000654,CUST004106,2024-01-23 07:00:00,안전,계약 변경이 어려워요,완료,4,
COMP000655,CUST000634,2023-09-27 02:00:00,기타,상담원 친절도가 떨어져요,완료,4,2023-08-04
COMP000656,CUST002681,2024-03-08 20:00:00,기타,공급이 자주 끊겨요,접수,4,2023-01-02
COMP000657,CUST004674,2023-09-03 16:00:00,요금,환불이 안 되네요,처리중,1,
COMP000658,CUST001896,2024-09-19 22:00:00,요금,요금이 지난달보다 많이 나왔어요,완료,4,
COMP000659,CUST002917,2024-12-02 08:00:00,요금,공급이 자주 끊겨요,처리중,5,
COMP000660,CUST003590,2023-10-19 20:00:00,기타,앱 사용이 불편해요,완료,4,2024-12-23
COMP000661,CUST004080,2024-06-28 08:00:00,기타,고객센터 응답이 느려요,완료,5,
COMP000662,CUST002900,2024-02-27 06:00:00,안전,고객센터 응답이 느려요,완료,1,2023-05-17
COMP000663,CUST001332,2023-03-12 05:00:00,서비스,정기점검을 안 해줬어요,처리중,3,2024-09-18
COMP000664,CUST001007,2023-05-20 09:00:00,공급,요금이 지난달보다 많이 나왔어요,완료,5,2023-02-28
COMP000665,CUST003943,2023-04-24 20:00:00,요금,공급이 자주 끊겨요,완료,3,
COMP000666,CUST004619,2024-04-11 19:00:00,요금,정기점검을 안 해줬어요,완료,4,2023-12-31
COMP000667,CUST003499,2024-04-08 08:00:00,기타,계약 변경이 어려워요,완료,4,2023-10-14
COMP000668,CUST000897,2024-12-18 19:00:00,요금,청구서 오류가 있습니다,완료,5,2023-01-17
COMP000669,CUST000776,2024-05-18 06:00:00,기타,상담원 친절도가 떨어져요,처리중,2,2024-08-20
COMP000670,CUST002370,2023-11-25 00:00:00,기술,앱 사용이 불편해요,처리중,1,2024-12-05
COMP000671,CUST001183,2023-06-05 01:00:00,요금,앱 사용이 불편해요,보류,5,2024-10-31
COMP000672,CUST002348,2024-07-01 00:00:00,공급,상담원 친절도가 떨어져요,처리중,1,2024-10-03
COMP000673,CUST002279,2023-07-10 03:00:00,기술,계약 변경이 어려워요,완료,2,
COMP000674,CUST001288,2023-10-16 08:00:00,기술,청구서 오류가 있습니다,완료,1,2024-03-28
COMP000675,CUST001957,2023-05-09 22:00:00,요금,고객센터 응답이 느려요,접수,4,2023-10-03
COMP000676,CUST002383,2024-03-24 23:00:00,기술,가스 냄새가 심합니다,완료,1,2024-10-06
COMP000677,CUST003153,2023-01-09 07:00:00,공급,고객센터 응답이 느려요,완료,5,
COMP000678,CUST002433,2023-04-03 04:00:00,서비스,공급이 자주 끊겨요,보류,1,
COMP000679,CUST003208,2023-01-16 15:00:00,서비스,상담원 친절도가 떨어져요,처리중,3,2023-08-26
COMP000680,CUST003242,2023-08-11 10:00:00,기타,계약 변경이 어려워요,처리중,3,
COMP000681,CUST004743,2024-03-06 09:00:00,요금,공급이 자주 끊겨요,완료,3,2023-06-01
COMP000682,CUST004936,2024-05-25 11:00:00,안전,정기점검을 안 해줬어요,보류,5,
COMP000683,CUST004978,2024-04-19 22:00:00,공급,환불이 안 되네요,완료,2,2023-07-05
COMP000684,CUST000684,2023-02-02 10:00:00,서비스,요금이 지난달보다 많이 나왔어요,처리중,5,2023-06-30
COMP000685,CUST001696,2023-03-24 04:00:00,안전,요금이 지난달보다 많이 나왔어요,처리중,1,2024-05-17
COMP000686,CUST004225,2023-02-27 08:00:00,공급,정기점검을 안 해줬어요,완료,1,
COMP000687,CUST001691,2024-02-06 02:00:00,기타,공급이 자주 끊겨요,완료,4,2023-10-16
COMP000688,CUST003803,2024-07-10 15:00:00,서비스,요금이 지난달보다 많이 나왔어요,처리중,2,2023-06-16
COMP000689,CUST000801,2023-07-05 06:00:00,공급,고객센터 응답이 느려요,완료,2,
COMP000690,CUST004603,2023-09-14 12:00:00,요금,앱 사용이 불편해요,완료,4,
COMP000691,CUST000840,2023-01-13 03:00:00,기타,앱 사용이 불편해요,완료,1,
COMP000692,CUST000023,2023-09-12 12:00:00,요금,정기점검을 안 해줬어요,완료,5,2023-05-27
COMP000693,CUST002526,2024-03-29 07:00:00,기술,상담원 친절도가 떨어져요,접수,5,2023-09-09
COMP000694,CUST001314,2023-02-04 06:00:00,요금,앱 사용이 불편해요,완료,5,2024-10-22
COMP000695,CUST000478,2024-04-16 23:00:00,기술,계약 변경이 어려워요,접수,3,
COMP000696,CUST000487,2023-04-07 16:00:00,요금,상담원 친절도가 떨어져요,완료,2,2024-06-23
COMP000697,CUST002225,2024-11-12 06:00:00,기술,상담원 친절도가 떨어져요,완료,1,2023-01-13
COMP000698,CUST003347,2024-04-29 12:00:00,기술,청구서 오류가 있습니다,접수,4,
COMP000699,CUST003126,2024-11-28 09:00:00,공급,정기점검을 안 해줬어요,접수,4,2023-01-22
COMP000700,CUST004638,2023-11-27 05:00:00,기타,계약 변경이 어려워요,완료,4,2023-01-14
COMP000701,CUST003472,2024-10-06 23:00:00,서비스,공급이 자주 끊겨요,처리중,1,
COMP000702,CUST000234,2023-02-13 23:00:00,안전,고객센터 응답이 느려요,완료,4,
COMP000703,CUST004789,2024-07-16 16:00:00,공급,고객센터 응답이 느려요,완료,3,2023-09-12
COMP000704,CUST000641,2023-05-06 08:00:00,기술,요금이 지난달보다 많이 나왔어요,접수,4,
COMP000705,CUST001652,2024-05-07 20:00:00,기타,가스 냄새가 심합니다,완료,3,2024-10-04
COMP000706,CUST001229,2023-11-02 06:00:00,기술,공급이 자주 끊겨요,처리중,1,2023-01-10
COMP000707,CUST001863,2024-01-05 01:00:00,기술,요금이 지난달보다 많이 나왔어요,처리중,5,
COMP000708,CUST004884,2024-11-13 06:00:00,기술,가스 냄새가 심합니다,처리중,1,2023-12-13
COMP000709,CUST003258,2023-04-26 07:00:00,기타,요금이 지난달보다 많이 나왔어요,접수,4,
COMP000710,CUST002343,2024-10-10 13:00:00,공급,가스 냄새가 심합니다,완료,2,2023-05-23
COMP000711,CUST004504,2023-11-29 00:00:00,요금,앱 사용이 불편해요,완료,4,2024-07-30
COMP000712,CUST001660,2023-06-21 08:00:00,안전,고객센터 응답이 느려요,완료,5,
COMP000713,CUST002020,2024-08-21 03:00:00,공급,가스 냄새가 심합니다,접수,5,
COMP000714,CUST003853,2024-02-10 07:00:00,요금,정기점검을 안 해줬어요,완료,4,2024-05-05
COMP000715,CUST001476,2023-01-10 01:00:00,기타,환불이 안 되네요,처리중,2,2023-02-27
COMP000716,CUST000070,2024-08-18 22:00:00,기술,가스 냄새가 심합니다,완료,2,2023-10-01
COMP000717,CUST004761,2024-05-01 22:00:00,서비스,공급이 자주 끊겨요,보류,3,
COMP000718,CUST003652,2024-09-02 04:00:00,안전,계약 변경이 어려워요,완료,3,2023-02-15
COMP000719,CUST001099,2024-01-16 02:00:00,요금,앱 사용이 불편해요,처리중,3,2023-10-31
COMP000720,CUST002763,2023-09-12 05:00:00,기타,고객센터 응답이 느려요,완료,2,2024-03-01
COMP000721,CUST000400,2024-05-26 02:00:00,요금,앱 사용이 불편해요,접수,1,2023-08-18
COMP000722,CUST004292,2024-12-03 19:00:00,기술,정기점검을 안 해줬어요,완료,3,2024-03-13
COMP000723,CUST004183,2023-12-13 20:00:00,기타,요금이 지난달보다 많이 나왔어요,접수,3,2023-12-28
COMP000724,CUST003450,2023-03-03 01:00:00,기타,공급이 자주 끊겨요,처리중,5,
COMP000725,CUST004835,2023-12-31 20:00:00,서비스,고객센터 응답이 느려요,완료,2,2024-12-01
COMP000726,CUST001236,2023-06-07 22:00:00,안전,고객센터 응답이 느려요,완료,2,2023-04-26
COMP000727,CUST003440,2024-07-03 03:00:00,요금,앱 사용이 불편해요,완료,3,2023-04-23
COMP000728,CUST003737,2023-05-09 15:00:00,안전,앱 사용이 불편해요,처리중,4,2023-10-16
COMP000729,CUST003022,2023-08-27 10:00:00,기타,앱 사용이 불편해요,처리중,2,2024-09-22
COMP000730,CUST004310,2024-07-25 20:00:00,기타,요금이 지난달보다 많이 나왔어요,처리중,4,2024-01-05
COMP000731,CUST001263,2023-12-22 14:00:00,기술,앱 사용이 불편해요,처리중,3,
COMP000732,CUST002048,2023-07-17 00:00:00,기술,상담원 친절도가 떨어져요,보류,3,
COMP000733,CUST003891,2024-12-06 12:00:00,기타,가스 냄새가 심합니다,보류,4,
COMP000734,CUST004420,2024-01-02 23:00:00,기타,가스 냄새가 심합니다,완료,5,
COMP000735,CUST001283,2023-05-18 08:00:00,기타,계약 변경이 어려워요,완료,4,2024-06-27
COMP000736,CUST002865,2023-02-10 15:00:00,서비스,상담원 친절도가 떨어져요,처리중,2,2023-07-05
COMP000737,CUST000555,2024-12-24 14:00:00,기타,정기점검을 안 해줬어요,완료,4,
COMP000738,CUST003248,2024-07-26 09:00:00,안전,요금이 지난달보다 많이 나왔어요,완료,5,2024-11-14
COMP000739,CUST000572,2024-07-09 22:00:00,안전,청구서 오류가 있습니다,완료,5,
COMP000740,CUST002428,2024-05-16 06:00:00,기술,요금이 지난달보다 많이 나왔어요,처리중,2,
COMP000741,CUST004238,2024-08-03 05:00:00,서비스,공급이 자주 끊겨요,접수,5,2023-04-17
COMP000742,CUST000260,2024-07-10 11:00:00,서비스,정기점검을 안 해줬어요,처리중,3,2024-05-26
COMP000743,CUST004098,2023-11-28 23:00:00,기타,정기점검을 안 해줬어요,접수,4,
COMP000744,CUST001515,2024-04-24 08:00:00,공급,앱 사용이 불편해요,완료,5,
COMP000745,CUST002138,2024-09-05 17:00:00,공급,상담원 친절도가 떨어져요,보류,4,
COMP000746,CUST004405,2023-06-14 02:00:00,서비스,상담원 친절도가 떨어져요,처리중,1,
COMP000747,CUST000089,2024-06-27 04:00:00,공급,환불이 안 되네요,처리중,3,2023-01-03
COMP000748,CUST000229,2024-04-05 09:00:00,안전,계약 변경이 어려워요,완료,1,
COMP000749,CUST002171,2023-09-27 17:00:00,요금,요금이 지난달보다 많이 나왔어요,접수,2,
COMP000750,CUST004995,2024-01-11 14:00:00,공급,앱 사용이 불편해요,완료,4,
COMP000751,CUST002050,2023-01-01 20:00:00,서비스,정기점검을 안 해줬어요,처리중,2,2023-06-01
COMP000752,CUST000106,2024-06-02 12:00:00,요금,앱 사용이 불편해요,완료,1,2024-05-04
COMP000753,CUST004410,2023-07-09 00:00:00,기타,환불이 안 되네요,완료,4,
COMP000754,CUST004885,2024-09-26 11:00:00,기타,상담원 친절도가 떨어져요,완료,2,2024-03-13
COMP000755,CUST004642,2024-09-27 07:00:00,기술,상담원 친절도가 떨어져요,완료,3,
COMP000756,CUST003000,2023-11-25 23:00:00,안전,앱 사용이 불편해요,완료,5,2023-04-03
COMP000757,CUST000195,2023-03-06 21:00:00,요금,가스 냄새가 심합니다,완료,5,2023-05-11
COMP000758,CUST003762,2024-07-05 12:00:00,기술,요금이 지난달보다 많이 나왔어요,접수,4,2024-01-30
COMP000759,CUST000912,2023-07-14 16:00:00,공급,환불이 안 되네요,완료,2,2024-05-21
COMP000760,CUST003942,2024-11-30 15:00:00,기타,요금이 지난달보다 많이 나왔어요,완료,2,2024-12-11
COMP000761,CUST002511,2024-07-18 04:00:00,기술,정기점검을 안 해줬어요,완료,2,
COMP000762,CUST004391,2024-09-19 09:00:00,요금,상담원 친절도가 떨어져요,접수,1,
COMP000763,CUST000953,2023-11-27 13:00:00,기타,청구서 오류가 있습니다,완료,3,
COMP000764,CUST001917,2024-10-18 10:00:00,서비스,환불이 안 되네요,접수,5,2024-10-31
COMP000765,CUST002188,2023-04-24 03:00:00,안전,공급이 자주 끊겨요,처리중,1,
COMP000766,CUST004089,2024-06-19 21:00:00,안전,계약 변경이 어려워요,완료,1,2024-07-16
COMP000767,CUST000013,2023-03-10 01:00:00,요금,정기점검을 안 해줬어요,완료,1,2024-06-30
COMP000768,CUST001236,2023-05-13 05:00:00,기타,앱 사용이 불편해요,완료,5,2024-07-03
COMP000769,CUST000153,2023-02-02 06:00:00,안전,공급이 자주 끊겨요,완료,4,
COMP000770,CUST004972,2023-04-20 15:00:00,기타,앱 사용이 불편해요,처리중,5,2024-08-17
COMP000771,CUST004589,2023-07-16 03:00:00,서비스,상담원 친절도가 떨어져요,접수,1,
COMP000772,CUST000035,2023-02-02 18:00:00,요금,청구서 오류가 있습니다,처리중,4,2024-12-11
COMP000773,CUST001809,2024-10-19 12:00:00,요금,앱 사용이 불편해요,완료,4,
COMP000774,CUST004645,2024-11-04 15:00:00,기술,정기점검을 안 해줬어요,보류,4,2023-03-31
COMP000775,CUST004930,2024-06-22 19:00:00,서비스,요금이 지난달보다 많이 나왔어요,완료,2,2023-01-03
