고객ID,가입일,지역,고객타입,계약기간,요금제
CUST001362,2023-07-08,인천,산업,장기,할인
CUST001363,2023-12-11,울산,상업,1년,프리미엄
CUST001364,2023-12-11,경기,공공,2년,기본
CUST001365,2023-05-15,대전,산업,장기,기본
CUST001366,2023-10-27,경기,공공,1년,기본
CUST001367,2023-07-15,대구,산업,2년,할인
CUST001368,2023-11-23,세종,산업,장기,기본
CUST001369,2023-07-10,서울,상업,장기,기본
CUST001370,2023-02-25,대구,산업,1년,기본
CUST001371,2023-12-12,세종,주택,2년,기본
CUST001372,2023-04-30,서울,주택,2년,기본
CUST001373,2023-08-30,세종,상업,장기,프리미엄
CUST001374,2023-01-13,울산,공공,2년,프리미엄
CUST001375,2023-11-14,대전,공공,1년,기본
CUST001376,2023-10-15,강원,공공,장기,기본
CUST001377,2023-06-17,대구,주택,장기,기본
CUST001378,2023-11-09,대구,공공,1년,기본
CUST001379,2023-04-24,부산,공공,장기,할인
CUST001380,2023-11-28,광주,상업,2년,할인
CUST001381,2023-02-02,울산,공공,2년,할인
CUST001382,2023-11-22,울산,주택,장기,프리미엄
CUST001383,2023-08-26,경기,주택,1년,기본
CUST001384,2023-12-25,세종,주택,1년,할인
CUST001385,2023-06-04,광주,상업,2년,기본
CUST001386,2023-11-29,대전,상업,1년,기본
CUST001387,2023-07-29,대전,산업,장기,프리미엄
CUST001388,2023-03-01,울산,공공,장기,프리미엄
CUST001389,2023-03-13,대전,상업,2년,할인
CUST001390,2023-01-24,부산,주택,2년,할인
CUST001391,2023-01-20,대구,주택,2년,프리미엄
CUST001392,2023-06-05,인천,상업,1년,프리미엄
CUST001393,2023-09-10,강원,상업,장기,기본
CUST001394,2023-03-01,경기,상업,장기,기본
CUST001395,2023-02-19,세종,산업,장기,할인
CUST001396,2023-05-01,강원,주택,2년,할인
CUST001397,2023-10-03,세종,산업,장기,프리미엄
CUST001398,2023-03-11,서울,산업,1년,할인
CUST001399,2023-07-18,강원,공공,1년,기본
CUST001400,2023-08-21,인천,주택,장기,프리미엄
CUST001401,2023-07-09,울산,주택,2년,기본
CUST001402,2023-12-10,부산,상업,장기,프리미엄
CUST001403,2023-12-23,대구,상업,1년,프리미엄
CUST001404,2023-10-04,대구,공공,1년,기본
CUST001405,2023-08-03,부산,산업,1년,할인
CUST001406,2023-10-28,광주,상업,장기,할인
CUST001407,2023-03-21,서울,상업,1년,할인
CUST001408,2023-08-01,세종,주택,2년,할인
CUST001409,2023-12-02,인천,주택,장기,기본
CUST001410,2023-02-20,대전,상업,장기,프리미엄
CUST001411,2023-09-08,강원,주택,1년,기본
CUST001412,2023-11-12,서울,공공,1년,할인
CUST001413,2023-07-28,강원,상업,2년,할인
CUST001414,2023-05-24,인천,주택,장기,기본
CUST001415,2023-01-17,경기,공공,1년,프리미엄
CUST001416,2023-12-20,경기,주택,2년,기본
CUST001417,2023-07-09,서울,주택,1년,기본
CUST001418,2023-04-22,울산,주택,장기,기본
CUST001419,2023-08-16,인천,상업,1년,프리미엄
CUST001420,2023-08-16,인천,산업,장기,기본
CUST001421,2023-05-01,부산,주택,1년,기본
CUST001422,2023-07-05,울산,공공,장기,할인
CUST001423,2023-02-20,세종,상업,2년,기본
CUST001424,2023-12-18,세종,상업,장기,할인
CUST001425,2023-07-08,대전,공공,2년,할인
CUST001426,2023-10-06,대구,주택,장기,할인
CUST001427,2023-11-27,경기,산업,2년,프리미엄
CUST001428,2023-07-03,세종,주택,1년,할인
CUST001429,2023-02-01,울산,공공,장기,기본
CUST001430,2023-07-23,인천,상업,1년,기본
CUST001431,2023-05-22,세종,산업,2년,할인
CUST001432,2023-04-08,인천,상업,장기,할인
CUST001433,2023-03-04,세종,공공,장기,기본
CUST001434,2023-08-21,경기,주택,1년,할인
CUST001435,2023-02-16,강원,산업,장기,프리미엄
CUST001436,2023-12-06,세종,상업,장기,할인
CUST001437,2023-04-19,울산,상업,1년,프리미엄
CUST001438,2023-11-25,세종,상업,장기,프리미엄
CUST001439,2023-11-24,대구,주택,1년,프리미엄
CUST001440,2023-11-02,경기,산업,1년,할인
CUST001441,2023-01-11,울산,주택,1년,프리미엄
CUST001442,2023-01-26,부산,주택,1년,프리미엄
CUST001443,2023-06-20,울산,주택,1년,할인
CUST001444,2023-05-05,대구,공공,2년,프리미엄
CUST001445,2023-03-06,강원,공공,2년,할인
CUST001446,2023-10-17,경기,공공,1년,기본
CUST001447,2023-04-16,부산,산업,2년,프리미엄
CUST001448,2023-02-05,대구,주택,2년,할인
CUST001449,2023-10-11,대구,주택,장기,기본
CUST001450,2023-04-17,서울,공공,1년,프리미엄
CUST001451,2023-10-28,경기,주택,2년,프리미엄
CUST001452,2023-04-21,울산,주택,장기,할인
CUST001453,2023-04-30,인천,상업,장기,기본
CUST001454,2023-06-18,강원,주택,1년,할인
CUST001455,2023-03-17,인천,상업,1년,프리미엄
CUST001456,2023-11-02,울산,주택,장기,프리미엄
CUST001457,2023-01-02,울산,산업,1년,프리미엄
CUST001458,2023-05-22,경기,공공,1년,프리미엄
CUST001459,2023-03-16,울산,상업,장기,기본
CUST001460,2023-03-08,서울,공공,장기,기본
CUST001461,2023-10-04,부산,상업,1년,할인
CUST001462,2023-05-09,울산,상업,2년,할인
CUST001463,2023-03-31,인천,상업,1년,할인
CUST001464,2023-02-26,울산,산업,2년,프리미엄
CUST001465,2023-12-05,서울,주택,장기,할인
CUST001466,2023-01-14,세종,상업,2년,기본
CUST001467,2023-03-09,세종,산업,장기,할인
CUST001468,2023-01-08,대구,상업,1년,할인
CUST001469,2023-07-03,강원,주택,1년,기본
CUST001470,2023-05-02,대전,상업,장기,기본
CUST001471,2023-10-29,부산,산업,장기,프리미엄
CUST001472,2023-06-15,광주,주택,장기,기본
CUST001473,2023-01-09,대구,산업,1년,기본
CUST001474,2023-03-31,강원,주택,1년,할인
CUST001475,2023-05-16,세종,주택,2년,기본
CUST001476,2023-01-27,인천,공공,장기,프리미엄
CUST001477,2023-03-06,광주,공공,2년,할인
CUST001478,2023-08-04,강원,공공,1년,프리미엄
CUST001479,2023-09-27,강원,주택,2년,기본
CUST001480,2023-02-28,대구,상업,2년,프리미엄
CUST001481,2023-02-02,광주,산업,1년,프리미엄
CUST001482,2023-09-01,경기,산업,1년,기본
CUST001483,2023-08-18,대전,산업,장기,기본
CUST001484,2023-07-05,경기,공공,2년,할인
CUST001485,2023-09-20,광주,주택,1년,할인
CUST001486,2023-10-31,경기,공공,1년,할인
CUST001487,2023-02-25,서울,상업,2년,기본
CUST001488,2023-08-20,세종,주택,1년,프리미엄
CUST001489,2023-09-15,서울,산업,장기,프리미엄
CUST001490,2023-04-24,울산,공공,장기,할인
CUST001491,2023-11-11,경기,공공,2년,할인
CUST001492,2023-01-23,울산,상업,장기,기본
CUST001493,2023-12-04,인천,상업,1년,프리미엄
CUST001494,2023-09-24,부산,공공,1년,할인
CUST001495,2023-06-04,인천,상업,1년,기본
CUST001496,2023-08-23,광주,산업,1년,할인
CUST001497,2023-11-26,강원,상업,2년,기본
CUST001498,2023-01-16,세종,상업,장기,프리미엄
CUST001499,2023-02-01,경기,공공,장기,기본
CUST001500,2023-09-03,대구,공공,1년,할인
CUST001501,2023-07-25,부산,주택,2년,할인
CUST001502,2023-08-07,대전,주택,1년,프리미엄
CUST001503,2023-12-18,대전,공공,1년,프리미엄
CUST001504,2023-02-25,대전,상업,2년,할인
CUST001505,2023-09-09,경기,상업,2년,할인
CUST001506,2023-12-31,대전,주택,1년,할인
CUST001507,2023-08-16,서울,주택,장기,프리미엄
CUST001508,2023-02-07,부산,주택,1년,할인
CUST001509,2023-02-11,서울,산업,장기,프리미엄
CUST001510,2023-06-14,강원,산업,장기,할인
CUST001511,2023-11-08,부산,주택,2년,기본
CUST001512,2023-03-17,서울,상업,2년,기본
CUST001513,2023-02-03,부산,주택,1년,할인
CUST001514,2023-03-06,강원,산업,장기,기본
CUST001515,2023-05-21,울산,상업,장기,프리미엄
CUST001516,2023-11-16,경기,산업,1년,기본
CUST001517,2023-11-21,경기,상업,1년,기본
CUST001518,2023-10-27,대전,산업,1년,프리미엄
CUST001519,2023-10-08,인천,상업,2년,기본
CUST001520,2023-12-31,대전,상업,1년,기본
CUST001521,2023-06-16,광주,상업,1년,할인
CUST001522,2023-07-15,서울,상업,장기,프리미엄
CUST001523,2023-11-02,부산,공공,1년,프리미엄
CUST001524,2023-09-29,인천,산업,장기,할인
CUST001525,2023-05-31,강원,산업,장기,할인
CUST001526,2023-08-21,광주,공공,2년,기본
CUST001527,2023-09-16,강원,상업,1년,기본
CUST001528,2023-11-06,경기,상업,1년,기본
CUST001529,2023-08-09,경기,산업,장기,할인
CUST001530,2023-02-20,대전,공공,2년,프리미엄
CUST001531,2023-12-26,서울,상업,2년,기본
CUST001532,2023-02-28,인천,상업,1년,할인
CUST001533,2023-12-02,세종,상업,장기,프리미엄
CUST001534,2023-11-30,광주,주택,1년,할인
CUST001535,2023-10-10,광주,공공,1년,기본
CUST001536,2023-04-21,대전,상업,1년,할인
CUST001537,2023-08-09,경기,주택,1년,할인
CUST001538,2023-08-20,대전,공공,장기,할인
CUST001539,2023-04-27,부산,상업,2년,할인
CUST001540,2023-07-31,인천,산업,1년,프리미엄
CUST001541,2023-06-23,서울,주택,1년,기본
CUST001542,2023-08-21,울산,주택,1년,프리미엄
CUST001543,2023-07-24,대구,상업,1년,할인
CUST001544,2023-08-01,대구,상업,2년,할인
CUST001545,2023-02-18,대전,주택,2년,기본
CUST001546,2023-06-10,부산,산업,2년,기본
CUST001547,2023-08-07,인천,산업,2년,프리미엄
CUST001548,2023-06-10,세종,공공,1년,프리미엄
CUST001549,2023-12-07,대구,상업,장기,기본
CUST001550,2023-05-11,인천,산업,2년,프리미엄
CUST001551,2023-07-11,서울,공공,2년,할인
CUST001552,2023-03-20,강원,산업,1년,할인
CUST001553,2023-12-18,부산,상업,1년,기본
CUST001554,2023-08-31,경기,공공,1년,프리미엄
CUST001555,2023-02-04,인천,공공,1년,할인
CUST001556,2023-02-16,서울,공공,장기,기본
CUST001557,2023-02-13,세종,산업,장기,프리미엄
CUST001558,2023-02-17,울산,상업,2년,할인
CUST001559,2023-08-10,경기,공공,장기,프리미엄
CUST001560,2023-02-19,울산,주택,2년,프리미엄
CUST001561,2023-07-10,세종,상업,2년,프리미엄
CUST001562,2023-03-08,서울,주택,장기,기본
CUST001563,2023-10-12,대구,주택,2년,할인
CUST001564,2023-01-31,울산,공공,1년,기본
CUST001565,2023-10-28,경기,공공,2년,할인
CUST001566,2023-10-15,대전,산업,1년,할인
CUST001567,2023-10-15,광주,산업,장기,기본
CUST001568,2023-06-18,인천,산업,장기,기본
CUST001569,2023-12-10,대구,상업,2년,할인
CUST001570,2023-03-04,울산,산업,1년,할인
CUST001571,2023-07-30,강원,주택,2년,할인
CUST001572,2023-07-01,인천,산업,장기,프리미엄
CUST001573,2023-12-07,대전,공공,2년,할인
CUST001574,2023-08-05,세종,산업,2년,기본
CUST001575,2023-01-27,광주,상업,1년,기본
CUST001576,2023-05-28,서울,상업,장기,기본
CUST001577,2023-11-04,대전,주택,2년,할인
CUST001578,2023-06-09,대전,상업,1년,할인
CUST001579,2023-06-30,세종,산업,2년,프리미엄
CUST001580,2023-02-23,부산,공공,1년,프리미엄
CUST001581,2023-10-23,세종,상업,1년,기본
CUST001582,2023-09-17,부산,주택,2년,프리미엄
CUST001583,2023-04-19,부산,산업,장기,프리미엄
CUST001584,2023-03-21,대구,주택,장기,기본
CUST001585,2023-12-03,대구,상업,1년,할인
CUST001586,2023-09-04,경기,상업,장기,프리미엄
CUST001587,2023-04-25,울산,주택,1년,할인
CUST001588,2023-02-25,울산,산업,장기,기본
CUST001589,2023-06-29,서울,상업,2년,기본
CUST001590,2023-10-12,울산,공공,장기,프리미엄
CUST001591,2023-07-08,대구,상업,1년,기본
CUST001592,2023-02-28,경기,산업,1년,기본
CUST001593,2023-05-23,경기,상업,장기,기본
CUST001594,2023-10-21,부산,주택,2년,프리미엄
CUST001595,2023-04-26,세종,상업,1년,프리미엄
CUST001596,2023-08-08,서울,상업,1년,프리미엄
CUST001597,2023-10-15,부산,산업,1년,기본
CUST001598,2023-11-15,세종,주택,1년,할인
CUST001599,2023-11-11,울산,산업,1년,기본
CUST001600,2023-12-12,부산,상업,2년,프리미엄
CUST001601,2023-11-26,인천,공공,장기,할인
CUST001602,2023-10-13,울산,상업,2년,할인
CUST001603,2023-01-14,세종,산업,2년,프리미엄
CUST001604,2023-11-08,서울,공공,1년,할인
CUST001605,2023-12-03,세종,산업,2년,할인
CUST001606,2023-12-22,부산,산업,1년,프리미엄
CUST001607,2023-05-17,부산,주택,2년,할인
CUST001608,2023-01-15,대전,공공,1년,할인
CUST001609,2023-04-03,서울,상업,1년,프리미엄
CUST001610,2023-05-20,강원,산업,2년,할인
CUST001611,2023-12-26,울산,상업,2년,할인
CUST001612,2023-06-08,경기,주택,장기,할인
CUST001613,2023-06-23,서울,주택,장기,할인
CUST001614,2023-06-29,경기,공공,장기,프리미엄
CUST001615,2023-01-04,서울,주택,2년,기본
CUST001616,2023-04-03,서울,주택,2년,기본
CUST001617,2023-03-15,세종,상업,1년,할인
CUST001618,2023-10-17,서울,주택,장기,프리미엄
CUST001619,2023-12-03,대전,주택,1년,프리미엄
CUST001620,2023-07-25,강원,산업,1년,할인
CUST001621,2023-02-05,부산,주택,1년,기본
CUST001622,2023-03-14,광주,산업,1년,할인
CUST001623,2023-11-21,경기,주택,장기,프리미엄
CUST001624,2023-01-16,부산,주택,1년,프리미엄
CUST001625,2023-02-16,광주,공공,2년,기본
CUST001626,2023-09-29,강원,공공,2년,프리미엄
CUST001627,2023-04-21,강원,산업,2년,프리미엄
CUST001628,2023-07-12,경기,주택,장기,프리미엄
CUST001629,2023-08-03,경기,상업,1년,기본
CUST001630,2023-08-21,강원,공공,장기,프리미엄
CUST001631,2023-06-24,광주,상업,1년,할인
CUST001632,2023-03-22,서울,공공,장기,기본
CUST001633,2023-07-09,울산,공공,장기,할인
CUST001634,2023-06-09,인천,주택,1년,할인
CUST001635,2023-06-16,부산,공공,장기,기본
CUST001636,2023-10-18,세종,상업,1년,할인
CUST001637,2023-11-02,부산,공공,2년,기본
CUST001638,2023-02-13,세종,산업,2년,할인
CUST001639,2023-01-27,광주,주택,2년,기본
CUST001640,2023-03-21,세종,주택,장기,프리미엄
CUST001641,2023-03-22,경기,산업,2년,프리미엄
CUST001642,2023-11-13,울산,산업,1년,할인
CUST001643,2023-01-26,울산,산업,2년,프리미엄
CUST001644,2023-12-12,경기,공공,2년,기본
CUST001645,2023-02-11,대전,주택,장기,할인
CUST001646,2023-05-20,광주,산업,1년,프리미엄
CUST001647,2023-08-15,대전,공공,장기,프리미엄
CUST001648,2023-12-05,대전,산업,장기,할인
CUST001649,2023-08-06,부산,상업,1년,프리미엄
CUST001650,2023-09-06,강원,상업,장기,프리미엄
CUST001651,2023-11-07,부산,주택,1년,할인
CUST001652,2023-08-15,강원,공공,2년,프리미엄
CUST001653,2023-08-01,인천,상업,1년,프리미엄
CUST001654,2023-05-20,세종,상업,1년,프리미엄
CUST001655,2023-04-21,강원,공공,1년,프리미엄
CUST001656,2023-09-20,경기,산업,장기,할인
CUST001657,2023-02-28,부산,공공,1년,기본
CUST001658,2023-06-26,광주,산업,1년,기본
CUST001659,2023-08-09,세종,상업,1년,프리미엄
CUST001660,2023-02-26,인천,상업,2년,프리미엄
CUST001661,2023-05-26,강원,상업,1년,기본
CUST001662,2023-12-14,인천,주택,장기,프리미엄
CUST001663,2023-12-14,광주,주택,1년,기본
CUST001664,2023-10-31,대전,주택,1년,할인
CUST001665,2023-09-07,울산,공공,2년,할인
CUST001666,2023-09-27,광주,상업,1년,할인
CUST001667,2023-12-08,대구,상업,장기,할인
CUST001668,2023-06-07,광주,공공,1년,할인
CUST001669,2023-01-24,인천,주택,장기,할인
CUST001670,2023-04-23,경기,공공,2년,기본
CUST001671,2023-07-22,부산,주택,1년,프리미엄
CUST001672,2023-11-03,경기,상업,2년,기본
CUST001673,2023-01-29,인천,산업,1년,할인
CUST001674,2023-01-04,부산,주택,장기,프리미엄
CUST001675,2023-04-15,대구,상업,2년,프리미엄
CUST001676,2023-06-04,울산,상업,1년,할인
CUST001677,2023-04-19,세종,산업,장기,할인
CUST001678,2023-03-12,인천,상업,2년,할인
CUST001679,2023-05-11,강원,상업,1년,할인
CUST001680,2023-05-29,인천,주택,2년,할인
CUST001681,2023-06-17,인천,주택,1년,할인
CUST001682,2023-03-03,부산,산업,장기,프리미엄
CUST001683,2023-01-04,서울,산업,장기,할인
CUST001684,2023-09-12,광주,상업,2년,할인
CUST001685,2023-08-09,서울,주택,2년,프리미엄
CUST001686,2023-03-31,대구,산업,1년,기본
CUST001687,2023-03-08,강원,산업,장기,할인
CUST001688,2023-07-14,울산,공공,1년,프리미엄
CUST001689,2023-09-30,대전,산업,장기,프리미엄
CUST001690,2023-12-27,대구,상업,2년,기본
CUST001691,2023-04-28,대전,주택,1년,할인
CUST001692,2023-09-14,대전,산업,1년,할인
CUST001693,2023-10-14,울산,공공,장기,할인
CUST001694,2023-12-09,경기,주택,장기,프리미엄
CUST001695,2023-07-01,서울,산업,장기,할인
CUST001696,2023-02-06,인천,공공,2년,할인
CUST001697,2023-07-23,세종,산업,1년,할인
CUST001698,2023-01-22,대전,주택,장기,할인
CUST001699,2023-08-12,강원,주택,2년,기본
CUST001700,2023-01-10,대구,주택,장기,기본
CUST001701,2023-08-24,경기,상업,1년,기본
CUST001702,2023-02-09,대전,산업,장기,할인
CUST001703,2023-06-10,경기,상업,1년,할인
CUST001704,2023-10-22,경기,주택,2년,프리미엄
CUST001705,2023-08-08,대전,공공,2년,프리미엄
CUST001706,2023-10-21,부산,산업,장기,프리미엄
CUST001707,2023-07-27,광주,상업,1년,할인
CUST001708,2023-12-30,강원,산업,1년,기본
CUST001709,2023-11-24,인천,공공,1년,기본
CUST001710,2023-08-02,인천,상업,장기,기본
CUST001711,2023-05-29,강원,주택,1년,할인
CUST001712,2023-02-28,부산,상업,1년,기본
CUST001713,2023-07-27,인천,산업,1년,프리미엄
CUST001714,2023-01-11,경기,산업,1년,프리미엄
CUST001715,2023-06-16,울산,산업,장기,기본
CUST001716,2023-03-29,대구,산업,장기,프리미엄
CUST001717,2023-11-13,서울,주택,1년,기본
CUST001718,2023-08-24,인천,상업,1년,기본
CUST001719,2023-12-20,강원,주택,2년,프리미엄
CUST001720,2023-07-05,울산,주택,2년,프리미엄
CUST001721,2023-02-15,대전,주택,1년,프리미엄
CUST001722,2023-08-12,광주,산업,1년,프리미엄
CUST001723,2023-02-24,강원,산업,2년,기본
CUST001724,2023-05-05,경기,산업,2년,프리미엄
CUST001725,2023-08-12,광주,상업,1년,프리미엄
CUST001726,2023-10-29,대구,공공,장기,할인
CUST001727,2023-07-25,대구,산업,장기,프리미엄
CUST001728,2023-09-26,부산,상업,1년,프리미엄
CUST001729,2023-02-10,세종,산업,1년,기본
CUST001730,2023-07-22,부산,산업,2년,기본
CUST001731,2023-06-08,울산,주택,2년,할인
CUST001732,2023-06-23,광주,주택,장기,프리미엄
CUST001733,2023-04-24,세종,주택,1년,프리미엄
CUST001734,2023-06-20,대전,상업,2년,프리미엄
CUST001735,2023-03-28,경기,공공,장기,프리미엄
CUST001736,2023-02-09,광주,공공,장기,프리미엄
CUST001737,2023-09-19,부산,상업,장기,프리미엄
CUST001738,2023-11-21,서울,산업,2년,할인
CUST001739,2023-02-28,세종,상업,2년,프리미엄
CUST001740,2023-09-29,세종,산업,1년,프리미엄
CUST001741,2023-09-19,경기,상업,1년,프리미엄
CUST001742,2023-04-10,인천,상업,장기,할인
CUST001743,2023-06-28,대구,상업,장기,프리미엄
CUST001744,2023-06-29,대구,공공,2년,할인
CUST001745,2023-11-27,서울,주택,2년,기본
CUST001746,2023-03-17,울산,상업,1년,프리미엄
CUST001747,2023-05-01,울산,공공,1년,할인
CUST001748,2023-02-22,대전,주택,1년,기본
CUST001749,2023-03-16,광주,주택,2년,할인
CUST001750,2023-05-12,강원,상업,장기,할인
CUST001751,2023-04-12,인천,산업,1년,기본
CUST001752,2023-03-30,부산,산업,1년,프리미엄
CUST001753,2023-11-05,강원,산업,2년,프리미엄
CUST001754,2023-03-20,강원,상업,1년,할인
CUST001755,2023-12-02,세종,산업,장기,기본
CUST001756,2023-02-08,서울,공공,2년,프리미엄
CUST001757,2023-04-01,대구,공공,1년,할인
CUST001758,2023-11-18,대전,공공,1년,기본
CUST001759,2023-09-10,울산,공공,2년,할인
CUST001760,2023-08-26,서울,주택,2년,기본
CUST001761,2023-10-16,세종,공공,1년,프리미엄
CUST001762,2023-10-24,부산,산업,장기,프리미엄
CUST001763,2023-08-18,대전,상업,2년,할인
CUST001764,2023-12-15,세종,산업,장기,프리미엄
CUST001765,2023-10-17,대구,공공,1년,프리미엄
CUST001766,2023-11-26,대구,주택,장기,기본
CUST001767,2023-11-22,대구,공공,1년,프리미엄
CUST001768,2023-11-16,서울,상업,1년,기본
CUST001769,2023-06-15,서울,산업,1년,기본
CUST001770,2023-11-18,울산,상업,1년,할인
CUST001771,2023-06-11,울산,상업,장기,기본
CUST001772,2023-03-19,부산,상업,1년,프리미엄
CUST001773,2023-08-14,대전,산업,1년,기본
CUST001774,2023-02-04,경기,공공,장기,기본
CUST001775,2023-08-29,경기,상업,2년,할인
CUST001776,2023-08-15,세종,산업,장기,프리미엄
CUST001777,2023-11-20,대구,주택,장기,프리미엄
CUST001778,2023-06-05,대전,산업,장기,프리미엄
CUST001779,2023-05-21,강원,주택,1년,기본
CUST001780,2023-10-30,서울,산업,1년,프리미엄
CUST001781,2023-01-29,광주,공공,1년,프리미엄
CUST001782,2023-06-30,인천,상업,2년,기본
CUST001783,2023-09-17,부산,공공,1년,할인
CUST001784,2023-02-07,대구,산업,2년,할인
CUST001785,2023-06-08,대구,상업,1년,기본
CUST001786,2023-08-25,대구,주택,장기,할인
CUST001787,2023-08-20,서울,산업,1년,할인
CUST001788,2023-01-20,서울,상업,2년,할인
CUST001789,2023-01-30,인천,주택,2년,프리미엄
CUST001790,2023-07-08,강원,주택,1년,할인
CUST001791,2023-05-27,대전,공공,장기,프리미엄
CUST001792,2023-02-09,대구,산업,1년,할인
CUST001793,2023-11-27,경기,주택,1년,프리미엄
CUST001794,2023-02-16,울산,상업,1년,기본
CUST001795,2023-11-11,경기,주택,장기,기본
CUST001796,2023-11-01,세종,주택,2년,할인
CUST001797,2023-09-17,경기,공공,장기,프리미엄
CUST001798,2023-07-16,세종,공공,2년,기본
CUST001799,2023-08-25,광주,상업,2년,기본
CUST001800,2023-10-25,울산,공공,2년,기본
CUST001801,2023-10-11,경기,주택,장기,기본
CUST001802,2023-01-22,광주,주택,1년,할인
CUST001803,2023-08-19,부산,공공,1년,프리미엄
CUST001804,2023-10-20,대전,주택,1년,기본
CUST001805,2023-11-30,광주,주택,1년,할인
CUST001806,2023-04-07,대전,상업,1년,기본
CUST001807,2023-06-14,경기,공공,장기,기본
CUST001808,2023-11-06,강원,주택,장기,기본
CUST001809,2023-09-01,광주,공공,장기,기본
CUST001810,2023-09-14,울산,상업,장기,할인
CUST001811,2023-03-19,경기,공공,장기,프리미엄
CUST001812,2023-02-01,대구,주택,장기,할인
CUST001813,2023-08-19,서울,공공,장기,할인
CUST001814,2023-02-22,광주,주택,1년,할인
CUST001815,2023-06-25,울산,주택,2년,기본
CUST001816,2024-01-01,부산,주택,장기,프리미엄
CUST001817,2023-02-13,대구,상업,2년,기본
CUST001818,2023-09-16,부산,공공,장기,할인
CUST001819,2023-11-27,경기,상업,장기,기본
CUST001820,2023-03-30,서울,공공,1년,프리미엄
CUST001821,2023-01-21,광주,상업,2년,프리미엄
CUST001822,2023-05-07,광주,산업,1년,기본
CUST001823,2023-12-29,강원,주택,1년,할인
CUST001824,2023-08-13,강원,주택,2년,기본
CUST001825,2023-08-13,경기,상업,1년,할인
CUST001826,2023-09-26,경기,산업,장기,프리미엄
CUST001827,2023-09-25,서울,주택,장기,기본
CUST001828,2023-11-09,강원,공공,장기,프리미엄
CUST001829,2023-03-23,울산,상업,장기,할인
CUST001830,2023-07-06,울산,주택,장기,할인
CUST001831,2023-07-10,서울,주택,1년,기본
CUST001832,2023-05-25,울산,상업,1년,기본
CUST001833,2023-07-18,세종,상업,장기,기본
CUST001834,2023-07-29,대전,공공,장기,프리미엄
CUST001835,2023-06-23,서울,공공,1년,할인
CUST001836,2023-12-14,서울,주택,2년,할인
CUST001837,2023-11-03,인천,주택,1년,프리미엄
CUST001838,2023-01-27,대구,상업,1년,기본
CUST001839,2023-11-20,대구,주택,1년,기본
CUST001840,2023-11-28,세종,주택,1년,프리미엄
CUST001841,2023-06-21,강원,상업,1년,할인
CUST001842,2023-02-03,경기,주택,2년,할인
CUST001843,2023-06-18,경기,주택,장기,할인
CUST001844,2023-02-18,부산,산업,장기,할인
CUST001845,2023-10-13,세종,공공,2년,프리미엄
CUST001846,2023-12-14,서울,상업,장기,할인
CUST001847,2023-07-17,세종,산업,장기,프리미엄
CUST001848,2023-05-26,세종,공공,장기,기본
CUST001849,2023-05-10,세종,공공,2년,프리미엄
CUST001850,2023-12-03,대구,공공,2년,할인
CUST001851,2023-11-05,세종,산업,장기,기본
CUST001852,2023-03-18,대전,산업,장기,프리미엄
CUST001853,2023-06-20,경기,공공,장기,프리미엄
CUST001854,2023-02-11,부산,주택,1년,프리미엄
CUST001855,2023-10-26,대전,주택,1년,기본
CUST001856,2023-12-06,부산,산업,1년,프리미엄
CUST001857,2023-03-14,인천,산업,2년,할인
CUST001858,2023-06-29,부산,산업,장기,기본
CUST001859,2023-06-08,경기,공공,2년,기본
CUST001860,2023-12-02,경기,주택,2년,프리미엄
CUST001861,2023-12-24,세종,산업,2년,할인
CUST001862,2023-12-06,광주,산업,장기,기본
CUST001863,2023-07-20,인천,상업,1년,프리미엄
CUST001864,2023-03-08,서울,공공,장기,할인
CUST001865,2023-11-01,울산,상업,장기,프리미엄
CUST001866,2023-12-29,부산,주택,2년,프리미엄
CUST001867,2023-02-13,광주,상업,2년,기본
CUST001868,2023-06-08,세종,상업,2년,기본
CUST001869,2023-10-14,대구,상업,1년,프리미엄
CUST001870,2023-07-12,서울,공공,1년,기본
CUST001871,2023-11-26,강원,주택,1년,기본
CUST001872,2023-06-18,광주,상업,장기,할인
CUST001873,2023-03-07,대구,공공,2년,할인
CUST001874,2023-12-10,인천,주택,장기,프리미엄
CUST001875,2023-12-26,세종,산업,1년,프리미엄
CUST001876,2023-12-17,서울,상업,2년,프리미엄
CUST001877,2023-09-27,서울,주택,1년,프리미엄
CUST001878,2023-02-17,서울,상업,2년,할인
CUST001879,2023-11-27,인천,산업,2년,기본
CUST001880,2023-12-10,부산,주택,장기,할인
CUST001881,2023-08-05,강원,공공,장기,프리미엄
CUST001882,2023-09-18,인천,주택,1년,프리미엄
CUST001883,2023-07-05,울산,공공,장기,할인
CUST001884,2023-01-10,강원,주택,장기,할인
CUST001885,2023-07-05,경기,공공,장기,프리미엄
CUST001886,2023-06-08,세종,산업,2년,기본
CUST001887,2023-04-03,인천,산업,장기,프리미엄
CUST001888,2023-04-20,대구,산업,1년,할인
CUST001889,2023-06-24,강원,주택,2년,프리미엄
CUST001890,2023-09-06,울산,산업,2년,프리미엄
CUST001891,2023-04-09,경기,상업,장기,기본
CUST001892,2023-04-26,부산,산업,2년,프리미엄
CUST001893,2023-03-12,대구,공공,1년,프리미엄
CUST001894,2023-03-21,강원,공공,1년,프리미엄
CUST001895,2023-02-09,세종,공공,2년,할인
CUST001896,2023-06-01,대구,주택,장기,할인
CUST001897,2023-02-21,경기,상업,장기,기본
